groupType,groupSize,metric,alg,mean,corr,MAE
sim,2,AR,mf_230_1.0_avg20_sim_group_2_weighted,0.433,0.901,0.081
sim,2,AR,mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0_weighted,0.42,0.978,0.029
sim,2,AR,mf_230_1.0_avg_sim_group_2_FuzzyDHondt_1.0_weighted,0.443,0.94,0.086
sim,2,nDCG,mf_230_1.0_avg20_sim_group_2_weighted,0.701,0.933,0.067
sim,2,nDCG,mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0_weighted,0.688,0.976,0.045
sim,2,nDCG,mf_230_1.0_avg_sim_group_2_FuzzyDHondt_1.0_weighted,0.717,0.965,0.077
sim,3,AR,mf_230_1.0_avg20_sim_group_3_weighted,0.368,0.87,0.073
sim,3,AR,mf_230_1.0_avg_sim_group_3_FuzzyDHondtDirectOptimize_1.0_weighted,0.36,0.957,0.041
sim,3,AR,mf_230_1.0_avg_sim_group_3_FuzzyDHondt_1.0_weighted,0.38,0.923,0.078
sim,3,nDCG,mf_230_1.0_avg20_sim_group_3_weighted,0.586,0.905,0.063
sim,3,nDCG,mf_230_1.0_avg_sim_group_3_FuzzyDHondtDirectOptimize_1.0_weighted,0.58,0.961,0.05
sim,3,nDCG,mf_230_1.0_avg_sim_group_3_FuzzyDHondt_1.0_weighted,0.604,0.946,0.072
sim,4,AR,mf_230_1.0_avg20_sim_group_4_weighted,0.337,0.828,0.061
sim,4,AR,mf_230_1.0_avg_sim_group_4_FuzzyDHondtDirectOptimize_1.0_weighted,0.329,0.935,0.037
sim,4,AR,mf_230_1.0_avg_sim_group_4_FuzzyDHondt_1.0_weighted,0.347,0.884,0.065
sim,4,nDCG,mf_230_1.0_avg20_sim_group_4_weighted,0.531,0.871,0.055
sim,4,nDCG,mf_230_1.0_avg_sim_group_4_FuzzyDHondtDirectOptimize_1.0_weighted,0.525,0.942,0.044
sim,4,nDCG,mf_230_1.0_avg_sim_group_4_FuzzyDHondt_1.0_weighted,0.546,0.914,0.06
sim,8,AR,mf_230_1.0_avg20_sim_group_8_weighted,0.277,0.718,0.039
sim,8,AR,mf_230_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_1.0_weighted,0.269,0.84,0.028
sim,8,AR,mf_230_1.0_avg_sim_group_8_FuzzyDHondt_1.0_weighted,0.281,0.768,0.039
sim,8,nDCG,mf_230_1.0_avg20_sim_group_8_weighted,0.428,0.748,0.037
sim,8,nDCG,mf_230_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_1.0_weighted,0.421,0.837,0.031
sim,8,nDCG,mf_230_1.0_avg_sim_group_8_FuzzyDHondt_1.0_weighted,0.435,0.788,0.037
div,2,AR,mf_230_1.0_avg20_div_group_2_weighted,0.327,0.896,0.127
div,2,AR,mf_230_1.0_avg_div_group_2_FuzzyDHondtDirectOptimize_1.0_weighted,0.32,0.995,0.011
div,2,AR,mf_230_1.0_avg_div_group_2_FuzzyDHondt_1.0_weighted,0.341,0.949,0.062
div,2,nDCG,mf_230_1.0_avg20_div_group_2_weighted,0.577,0.918,0.122
div,2,nDCG,mf_230_1.0_avg_div_group_2_FuzzyDHondtDirectOptimize_1.0_weighted,0.576,0.983,0.034
div,2,nDCG,mf_230_1.0_avg_div_group_2_FuzzyDHondt_1.0_weighted,0.604,0.988,0.031
div,3,AR,mf_230_1.0_avg20_div_group_3_weighted,0.252,0.867,0.106
div,3,AR,mf_230_1.0_avg_div_group_3_FuzzyDHondtDirectOptimize_1.0_weighted,0.251,0.986,0.017
div,3,AR,mf_230_1.0_avg_div_group_3_FuzzyDHondt_1.0_weighted,0.266,0.937,0.053
div,3,nDCG,mf_230_1.0_avg20_div_group_3_weighted,0.442,0.892,0.1
div,3,nDCG,mf_230_1.0_avg_div_group_3_FuzzyDHondtDirectOptimize_1.0_weighted,0.451,0.971,0.034
div,3,nDCG,mf_230_1.0_avg_div_group_3_FuzzyDHondt_1.0_weighted,0.469,0.973,0.034
div,4,AR,mf_230_1.0_avg20_div_group_4_weighted,0.213,0.843,0.087
div,4,AR,mf_230_1.0_avg_div_group_4_FuzzyDHondtDirectOptimize_1.0_weighted,0.214,0.976,0.02
div,4,AR,mf_230_1.0_avg_div_group_4_FuzzyDHondt_1.0_weighted,0.226,0.927,0.043
div,4,nDCG,mf_230_1.0_avg20_div_group_4_weighted,0.373,0.865,0.082
div,4,nDCG,mf_230_1.0_avg_div_group_4_FuzzyDHondtDirectOptimize_1.0_weighted,0.384,0.959,0.032
div,4,nDCG,mf_230_1.0_avg_div_group_4_FuzzyDHondt_1.0_weighted,0.397,0.957,0.033
div,8,AR,mf_230_1.0_avg20_div_group_8_weighted,0.153,0.763,0.047
div,8,AR,mf_230_1.0_avg_div_group_8_FuzzyDHondtDirectOptimize_1.0_weighted,0.153,0.911,0.02
div,8,AR,mf_230_1.0_avg_div_group_8_FuzzyDHondt_1.0_weighted,0.16,0.86,0.029
div,8,nDCG,mf_230_1.0_avg20_div_group_8_weighted,0.266,0.786,0.045
div,8,nDCG,mf_230_1.0_avg_div_group_8_FuzzyDHondtDirectOptimize_1.0_weighted,0.271,0.891,0.026
div,8,nDCG,mf_230_1.0_avg_div_group_8_FuzzyDHondt_1.0_weighted,0.279,0.876,0.028
