alg,AR_avg,AR_min,AR_min/max,AR_std,nDCG_avg,nDCG_min,nDCG_min/max,nDCG_std
mf_30_1.0_avg_sim_group_2_AVG-F,2.818,2.493,0.798,0.325,0.84,0.811,0.934,0.029
mf_30_1.0_avg_sim_group_2_FuzzyDHondt-F,2.808,2.567,0.844,0.24,0.84,0.826,0.967,0.014
mf_30_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize-F,2.721,2.699,0.982,0.022,0.825,0.771,0.881,0.054
mf_30_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0,2.725,2.694,0.975,0.031,0.825,0.774,0.885,0.051
mf_30_1.0_avg_sim_group_3_AVG-F,2.514,2.285,0.839,0.183,0.747,0.7,0.892,0.037
mf_30_1.0_avg_sim_group_3_FuzzyDHondt-F,2.516,2.313,0.854,0.164,0.748,0.702,0.891,0.038
mf_30_1.0_avg_sim_group_3_FuzzyDHondtDirectOptimize-F,2.445,2.409,0.969,0.029,0.735,0.666,0.829,0.06
mf_30_1.0_avg_sim_group_3_FuzzyDHondtDirectOptimize_1.0,2.46,2.383,0.939,0.061,0.738,0.677,0.85,0.052
mf_30_1.0_avg_sim_group_4_AVG-F,2.381,1.881,0.659,0.382,0.689,0.627,0.842,0.046
mf_30_1.0_avg_sim_group_4_FuzzyDHondt-F,2.368,2.002,0.737,0.277,0.688,0.642,0.88,0.034
mf_30_1.0_avg_sim_group_4_FuzzyDHondtDirectOptimize-F,2.285,2.174,0.911,0.076,0.674,0.602,0.813,0.055
mf_30_1.0_avg_sim_group_4_FuzzyDHondtDirectOptimize_1.0,2.291,2.159,0.896,0.09,0.675,0.607,0.823,0.052
mf_30_1.0_avg_sim_group_8_AVG-F,1.973,1.601,0.71,0.205,0.562,0.473,0.739,0.055
mf_30_1.0_avg_sim_group_8_FuzzyDHondt-F,1.974,1.652,0.74,0.182,0.563,0.479,0.75,0.053
mf_30_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize-F,1.92,1.706,0.818,0.104,0.553,0.465,0.73,0.058
mf_30_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_1.0,1.94,1.641,0.762,0.149,0.556,0.474,0.751,0.052
mf_30_1.0_avg_div_group_2_AVG-F,2.237,1.655,0.614,0.582,0.727,0.672,0.862,0.055
